Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"becrypt.com","","logiq.no"
"beeverstruthers.co.uk","","lr-revision.se"
"begbies-traynorgroup.com","","lrp.dk"
"beierholm.dk","","lrs.dk"
"bekk.no","","luke.fi"
"bell-cornwell.co.uk","","lumanity.com"
"bell-integration.com","","maanmittauslaitos.fi"
"bellphillips.com","","macmillan.org.uk"
"benevolent.com","","maersk.com"
"benningtongreen.co.uk","","magicad.com"
"benoy.com","","maintech.no"
"bergab.se","","maintpartner.com"
"berkeleyeng.com","","mantec.eu"
"berkeleypartnership.com","","markedskraft.com"
"bernardsimsassociates.co.uk","","marloweplc.com"
"betatechnology.co.uk","","marselisborg.org"
"betts-associates.co.uk","","maynoothuniversity.ie"
"bevanbuckland.co.uk","","mckinsey.com"
"bff-architects.com","","medfiles.eu"
"bgp-consulting.co.uk","","mediacom.com"
"bgs.ac.uk","","meita.fi"
"bgy.co.uk","","menneskeret.dk"
"bhbarchitects.co.uk","","menon.no"
"bhp.co.uk","","mercodia.com"
"bicycletherapeutics.com","","meridion.se"
"bidwells.co.uk","","meritmind.se"
"big.dk","","midagon.com"
"bimobject.com","","midportscandinavia.com"
"biner.se","","miles.no"
"bioarctic.se","","miltton.fi"
"biobest.co.uk","","minervaimaging.com"
"bioinnovationinstitute.com","","mintel.com"
"biooutsource.com","","mps.org.uk"
"biopharma.ie","","ms.dk"
"biotage.com","","msd.no"
"birchmangroup.com","","naturskyddsforeningen.se"
"birlasoft.com","","naturvardsverket.se"
"bishopfleming.co.uk","","nbcd.com"
"bit.bio","","ncg.dk"
"bjerking.se","","ndareg.com"
"bjss.com","","nepa.com"
"blackburn-starling.co.uk","","neste.us"
"blackburnltd.co.uk","","nestejacobs.com"
"blackmarble.com","","netcompany.com"
"blackswan.com","","netigate.net"
"blank.no","","netlife.com"
"blda.co.uk","","netlight.com"
"blue-leaf.co.uk","","netnordic.com"
"bluebridgeone.com","","nexergroup.com"
"bluediamondengineering.co.uk","","ngu.no"
"bluefinsolutions.com","","nhg.fi"
"blueorchid.co.uk","","nibr.no"
"bluepartner.se","","nilu.com"
"bluepowerpartners.com","","nina.no"
"bm-ark.fi","","nine.dk"
"bm-p.co.uk","","nionit.com"
"bm3.co.uk","","nitor.com"
"bmce.ie","","niva.no"
"bmgresearch.co.uk","","nne.com"
"bmj.com","","nnit.com"
"bmjarchitects.co.uk","","no.capgemini.com"
"bmtrcl.com","","no.devoteam.com"
"boal.co.uk","","nodesagency.com"
"boatyardx.com","","noergaarddesign.dk"
"bodc.ac.uk","","nofima.no"
"boglearchitects.com","","norceresearch.no"
"boldonjames.com","","nordicbioscience.com"
"bondbryan.co.uk","","nordicstation.com"
"booth-king.co.uk","","nordicsustainability.com"
"boothwelsh.co.uk","","nordlandsforskning.no"
"borderarchaeology.com","","nordomatic.com"
"bornsvilkar.dk","","norgesgruppendata.no"
"borveborchsenius.no","","noria.no"
"bottomline.com","","norkart.no"
"bourton.co.uk","","norlic.fi"
"bouvet.no","","norsar.no"
"bowlandecology.co.uk","","norsyn.dk"
"bowmanriley.com","","northhighland.com"
"boxtechnologies.com","","norut.no"
"boxtelematics.com","","norwep.com"
"boyerplanning.co.uk","","novicell.dk"
"bpaquality.com","","novotek.com"
"bpienergy.com","","nozebra.dk"
"bpp-tech.com","","npaid.org"
"braathe.no","","npolar.no"
"bradley-enviro.co.uk","","nr.no"
"bradleyhall.co.uk","","nrc.no"
"bradleyjohnsondesign.com","","nsd.no"
"bradleymurphydesign.co.uk","","ntu.eu"
"brainlabsdigital.com","","nupi.no"
"brambledown.com","","oliasoft.com"
"brandarchitektsplc.com","","oliver.agency"
"brandbastion.com","","oliverwyman.com"
"brandfinance.com","","omda.com"
"branding-science.com","","oncoinvent.com"
"brandkonsulten.se","","onitio.com"
"brandpie.com","","opak.no"
"brandskyddslaget.se","","operate.dk"
"brandtrevision.dk","","opinion.no"
"brasierfreeth.com","","opticos.se"
"bravida.se","","orasinvest.fi"
"bre.co.uk","","orcsoftware.com"
"brebners.com","","ordina.be"
"bredvid.no","","orexo.com"
"brekkestrand.se","","origogroup.com"
"brentwoodgroup.co.uk","","orsconsulting.no"
"brevik.com","","osloeconomics.no"
"brggroup.com","","otw.se"
"briab.se","","overhuset.no"
"briarsgroup.com","","oxfam.org.uk"
"bridewellconsulting.com","","parexel.com"
