Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
Cognizant(cognizant.com),business finance,financial management services,91
Cognizant(cognizant.com),translation & language,localization project management,78
Cognizant(cognizant.com),analytics & reporting,business intelligence,87
Columbus(columbusglobal.com),cloud,enterprise cloud,80
Computacenter(computacenter.com),it management,saas operations management,87
Computacenter(computacenter.com),enterprise,enterprise architecture,73
Computacenter(computacenter.com),"budgeting, planning & strategy",project planning,89
Computacenter(computacenter.com),cloud,enterprise cloud,99
Concentrix(concentrix.com),it management,saas operations management,90
Concentrix(concentrix.com),contracts,engineering procurement and construction (epc),99
Concentrix(concentrix.com),"budgeting, planning & strategy",enterprise resource planning (erp),71
Concentrix(concentrix.com),other,construction erp,94
Concentrix(concentrix.com),business solutions,project management software,71
Conscia Nederland(conscia.com),cloud,enterprise cloud,71
Control Risks(controlrisks.com),it management,saas operations management,68
Core(onecore.ie),analytics & reporting,business intelligence platform,95
Cpc Project Services(cpcprojectservices.com),it management,saas operations management,91
Cranfield University(cranfield.ac.uk),it management,technology design & architecture,84
Cranfield University(cranfield.ac.uk),"budgeting, planning & strategy",financial management,71
Cranfield University(cranfield.ac.uk),business finance,financial management services,73
Cranfield University(cranfield.ac.uk),"budgeting, planning & strategy",resource allocation,82
Credera(credera.com),cloud,enterprise cloud,82
Crowe(crowe.com),contracts,engineering procurement and construction (epc),95
Crowe(crowe.com),it management,saas operations management,82
Crowe(crowe.com),cloud,cloud erp,78
Crowe(crowe.com),"budgeting, planning & strategy",project planning,71
Crowe(crowe.com),cloud,enterprise cloud,65
Crowe(crowe.com),product development & qa,adaptive project management and reporting,76
Crowe(crowe.com),product development & qa,project management,97
Cru(crugroup.com),cloud,enterprise cloud,94
Csg(csgi.com),analytics & reporting,business intelligence,73
Csg(csgi.com),it management,saas operations management,78
Csg(csgi.com),business solutions,project management software,90
Csg(csgi.com),business finance,financial management services,76
Csg(csgi.com),product development & qa,project management,84
Ctg(ctg.com),cloud,enterprise cloud,76
Ctg(ctg.com),product development & qa,adaptive project management and reporting,91
Ctg(ctg.com),it management,saas operations management,84
Ctg(ctg.com),product development & qa,project management,68
Curamando(curamando.com),it management,saas operations management,98
Currie & Brown(curriebrown.com),it management,saas operations management,82
Currie & Brown(curriebrown.com),it management,on-premise applications,91
Currie & Brown(curriebrown.com),other,erp vendors,87
Cyberhawk™(thecyberhawk.com),it management,saas operations management,85
Dai(dai.com),software engineering,performance engineering,84
Dai(dai.com),it management,saas operations management,90
Dassault Systèmes(3ds.com),software engineering,performance engineering,78
Dassault Systèmes(3ds.com),business solutions,project management software,65
Dassault Systèmes(3ds.com),enterprise,enterprise architecture,73
Dassault Systèmes(3ds.com),product development & qa,adaptive project management and reporting,76
Dassault Systèmes(3ds.com),it management,saas operations management,62
Davies(davies-group.com),it management,on-premise applications,100
Davies(davies-group.com),"budgeting, planning & strategy",project planning,97
Dcc Plc(dcc.ie),it management,saas operations management,82
Dcc Plc(dcc.ie),cloud,enterprise cloud,82
Dek Technologies(dektech.com.au),supply chain,distribution erp software,85
Dekra(dekra.com),cloud,enterprise cloud,62
Delft University Of Technology(tudelft.nl),it management,saas operations management,87
Delft University Of Technology(tudelft.nl),product development & qa,adaptive project management and reporting,68
Delft University Of Technology(tudelft.nl),operations,erp transformation,80
Delft University Of Technology(tudelft.nl),product development & qa,project management,85
Deloitte Danmark(deloitte.dk),cloud,enterprise cloud,87
Dept Agency(deptagency.com),it management,saas operations management,65
Devoteam(devoteam.com),"budgeting, planning & strategy",project planning,65
Devoteam(devoteam.com),enterprise,enterprise architecture,98
Devoteam(devoteam.com),business finance,project finance,73
Devoteam(devoteam.com),"budgeting, planning & strategy",resource tracking,73
